base_case_row,section,sort_order
Collections,Receipts,10
Long -term Debt Financing,Receipts,20
Insurance Proceeds-Melissa,Receipts,30
Other receipts (GCT Reimbursement),Receipts,40
Dividend Received,Receipts,50
Fuel,Disbursements,100
IPP,Disbursements,110
Payroll & Related,Disbursements,120
Supplier/Contractor,Disbursements,130
Motor Vehicle Transport,Disbursements,140
Customs,Disbursements,150
Taxes,Disbursements,160
Inventory,Disbursements,170
Insurance,Disbursements,180
Equity Investment,Disbursements,190
Loan Principal,Disbursements,200
Loan Interest & Fees,Disbursements,210
Hurricane Melissa Restoration,Disbursements,220
Phase 2 Restoration,Disbursements,230
T&D Rebuild,Disbursements,240
Dividends Paid,Disbursements,250
